jobName,podsNum,scheduledNodes,isPreferedNodes,creationTime,scheduledTime,allCompleted,completionTime
job-00,2,"[vk-0,vk-3]",true,2020-04-13 06:04:19 +0000 UTC,2020-04-13 06:04:19 +0000 UTC,true,2020-04-13 06:05:09 +0000 UTC
job-01,2,"[vk-1,vk-2]",true,2020-04-13 06:04:21 +0000 UTC,2020-04-13 06:04:24 +0000 UTC,true,2020-04-13 06:04:41 +0000 UTC
job-02,2,"[vk-13,vk-12]",false,2020-04-13 06:04:30 +0000 UTC,2020-04-13 06:04:30 +0000 UTC,true,2020-04-13 06:05:07 +0000 UTC
job-03,3,"[vk-10,vk-6,vk-16]",false,2020-04-13 06:04:42 +0000 UTC,2020-04-13 06:04:47 +0000 UTC,true,2020-04-13 06:05:43 +0000 UTC
job-04,3,"[vk-14,vk-9,vk-17]",false,2020-04-13 06:04:45 +0000 UTC,2020-04-13 06:04:50 +0000 UTC,true,2020-04-13 06:05:05 +0000 UTC
job-05,4,"[vk-21,vk-19,vk-15,vk-5]",false,2020-04-13 06:04:47 +0000 UTC,2020-04-13 06:04:56 +0000 UTC,true,2020-04-13 06:05:30 +0000 UTC
job-06,2,"[vk-1,vk-2]",true,2020-04-13 06:04:56 +0000 UTC,2020-04-13 06:04:58 +0000 UTC,true,2020-04-13 06:05:07 +0000 UTC
job-07,2,"[vk-0,vk-2]",true,2020-04-13 06:05:15 +0000 UTC,2020-04-13 06:05:16 +0000 UTC,true,2020-04-13 06:05:37 +0000 UTC
job-08,2,"[vk-3,vk-1]",true,2020-04-13 06:05:29 +0000 UTC,2020-04-13 06:05:31 +0000 UTC,true,2020-04-13 06:06:01 +0000 UTC
